KMBA	#	Persian	Transliteration
সালাম যাতে পায় গোলাপ সাইপ্রেস রায়হান।		خدمت ما برسان سرو و گل و ریحان را	ḵẖedmat-e mā beresān sarv o gol o reyḥān rā
যদি ওয়াইন সেলার যুবক প্রকাশ করে রূপ		گر چنین جلوه کند مغبچهٔ باده‌فروش	gar chenīn jalveh konad maghbeche-ye bādeforūsh
চোখের পাপড়ি দিয়ে ঝাড়ু দিব বারের খিলান।		خاک‌روبِ درِ میخانه کنم مژگان را	ḵẖākrob-e dar-e meykhāneh konam mozhgān rā
ওহে, পিউর অম্বুরি চৌগান দিয়ে যে চালাও চাঁদ,		ای که بر مه کشی از عَنبرِ سارا چوگان	ey ke bar mah keshī az ʿanbar-e sāra chaugān
ইতিমধ্যে পথভ্রষ্ট মনে আর তুলো না তুফান।		مضطرب‌حال مگردان، من سرگردان را	moẓṭareb-ḥāl magardān man-e sargardān rā
গ্লাসের তলানি খাওয়া মাতালকে যারা ব্যঙ্গ করে		ترسم این قوم که بر دُردکشان می‌خندند	tarsam īn qowm ke bar dordkeshān mīḵẖandand
শেষে তারাই খারাবাতের বারে হারাবে ঈমান।		در سر کار خرابات کنند ایمان را	dar sar-e kār-e ḵẖarābāt konand īmān rā
বন্ধু করো খোদার মর্দকে, কারণ নূহের নৌকায়		یار مردان خدا باش که در کشتی نوح	yār-e mardān-e ḵẖodā bāsh ke dar keshtī-ye Nūḥ
এমন মাটি আছে যা ডুবাতে পারে না মহা-বান।		هست خاکی که به آبی نخرد طوفان را	hast ḵẖākī ke be ābī nakharad ṭūfān rā
আকাশের ঘর থেকে যাও, এখানে রুটি খুঁজো না,		برو از خانهٔ گردون به در و نان مطلب	boro az ḵẖāneh-ye gardūn be dar o nān maṭlab
সে কালো বাটির কারণে শেষে মরবে মেহমান।		کآن سیه‌کاسه در آخر بِکُشد مهمان را	ke ān siyah-kāseh dar āḵẖer bekoshed mehman rā
যার ঘুমানোর শেষ ঘর শুধু এক মুঠি ধুলা		هر که را خوابگه آخر مشتی خاک است	har ke rā ḵẖwābgah-e āḵẖer moshtī ḵẖāk ast
বলো সে কেন তুলতে চায় আকাশছোঁয়া দালান?		گو چه حاجت که به افلاک کشی ایوان را	gū che ḥājat ke be aflāk keshī īvān rā
ওরে কেনানের চাঁদ, মিশরের মসনদ তোমার,		ماه کنعانی من! مسند مصر آنِ تو شد	māh-e Kanʿānī-ye man! masnad-e Meṣr ān-e to shod
এখন তোমার কারাবন্দি জীবনের অবসান।		وقت آن است که بدرود کنی زندان را	vaqt-e ān ast ke bedrūd konī zendān rā
হাফিজ, মদ খাও, থাকো রিন্দের মতো খুশি, কিন্তু		حافظا می خور و رندی کن و خوش باش ولی	Ḥāfeẓā, mey ḵẖor o rendī kon o ḵẖosh bāsh, valī
অন্যদের মতো ভণ্ডামির ফাঁদে ফেলো না কুরআন।		دام تزویر مکن چون دگران قرآن را	dām-e tazwīr makon chon degarān Qurʾān rā
			
গত রাতে মসজিদ থেকে বারে আসলেন পীর;	10	دوش از مسجد سویِ میخانه آمد پیرِ ما	dūsh az masjed sū-ye meykhāneh āmad pīr-e mā
তবে, তরিকতের সাথীরা, কি আমাদের তদবির?		چیست یارانِ طریقت بعد از این تدبیرِ ما؟	chīst yārān-e ṭarīqat baʿd az īn tadbīr-e mā?
আমরা মুরিদরা কিভাবে কিবলার দিকে ফিরব		ما مریدان روی سویِ قبله چون آریم چون؟	mā morīdān rūy sū-ye qebleh chon ārīm, chon?
যদি ওয়াইন সেলারের দিকে ফিরেন স্বয়ং পীর?		روی سویِ خانهٔ خَمّار دارد پیرِ ما	rūy sū-ye ḵẖāneh-ye ḵẖammār dārad pīr-e mā
তরিকতের খারাবাতে আমরা একসাথে থাকি,		در خراباتِ طریقت ما به هم منزل شویم	dar ḵẖarābāt-e ṭarīqat mā be ham manzel shawīm
কারণ আদিকাল থেকে এই আমাদের তকদির।		کاین‌چنین رفته‌ است در عهدِ ازل تقدیرِ ما	ke in-chenīn rafteh ast dar ʿahd-e azal taqdīr-e mā
বুদ্ধি যদি বুঝত দিলের সুখ তার চুলের ফাঁসে,		عقل اگر داند که دل در بندِ زلفش چون خوش است	ʿaql agar dānad ke del dar band-e zolfash chon ḵẖosh ast
বোদ্ধাদেরও দিওয়ানা করত আমাদের জিঞ্জির।		عاقلان دیوانه گردند از پیِ زنجیرِ ما	ʿāqelān dīvāneh gardand az pey-e zanjīr-e mā
তোমার সুন্দর মুখ আমাদের দেখাল করুণা,		رویِ خوبت آیتی از لطف بر ما کشف کرد	rūy-e ḵẖūbat āyatī az loṭf bar mā kashf kard
সে থেকে বিউটি করুণা ছাড়া কিছু না তাফসির।		زان زمان جز لطف و خوبی نیست در تفسیرِ ما	zān zamān joz loṭf o ḵẖūbī nīst dar tafsīr-e mā
তোমার পাষাণ দিলে কোনো রাতে আগুন ধরাবে		با دلِ سنگینت آیا هیچ درگیرد شبی	bā del-e sangīnat āyā hīch dargīrad shabī
আমাদের রাতজাগা বুকে দীর্ঘশ্বাসের মদির?		آهِ آتشناک و سوزِ سینهٔ شبگیرِ ما؟	āh-e ātashnāk o sūz-e sīneh-ye shabgīr-e mā?
দীর্ঘশ্বাসের তির আকাশ ছাড়ায়, মৌন হাফিজ,		تیرِ آهِ ما ز گردون بگذرد حافظ خموش	tīr-e āh-e mā ze gardūn bogẕarad, Ḥāfeẓ ḵẖamūsh
নিজের জান রহম করো, ঠেকাও আমাদের তির।		رحم کن بر جانِ خود پرهیز کن از تیرِ ما	raḥm kon bar jān-e ḵẖod, parhīz kon az tīr-e mā
			
সাকী, মদের আলোয় আলোকিত করো গ্লাস আমাদের;	11	ساقی به نورِ باده برافروز جامِ ما	sāqī be nūr-e bāde bar-afrūz jāme mā
গায়ক, গাও, জাহান হলো কামনার বাস আমাদের।		مطرب بگو که کارِ جهان شُد به کامِ ما	moṭreb begū ke kār-e jahān shod be kām-e mā
আমরা পেয়ালায় দেখেছি প্রিয়ার মুখের ছবি; বেখবর,		ما در پیاله عکس رخِ یار دیده‌ایم	mā dar peyāleh ʿaks-e roḵẖ-e yār dīdeh-īm
তুমি জানো না একটানা পান করার বিলাস আমাদের।		ای بی‌خبر ز لَذَّتِ شُربِ مُدامِ ما	ey bī-khabar ze lazzat-e shorb-e modām-e mā
কখনোই মরে না সে যার হৃদয় বেঁচে উঠেছে প্রেমে,		هرگز نمیرد آن که دلش زنده شد به عشق	hargez namīrad ān ke delash zendeh shod be ʿeshq
নিখিলের খাতায় লেখা অনন্ত ইতিহাস আমাদের।		ثبت است بر جَریدهٔ عالم دوامِ ما	sabt ast bar jarīdeh-ye ʿālam davām-e mā
এত কারিশমা ও আহ্লাদ দীর্ঘদেহী রূপসীদের যে		چندان بُوَد کرشمه و نازِ سَهی‌قدان	chandān bovad kereshmeh o nāz-e sahī-qadān
সাইপ্রেসও চায় দেবদারু-হাঁটার অভ্যাস আমাদের।		کآید به جلوه سروِ صنوبرخَرامِ ما	ka āyad be jalveh sarv-e sanowbar-ḵẖarām-e mā
ও হাওয়া, যদি বন্ধুদের গুলশান দিয়ে যাও,		ای باد اگر به گُلشنِ اَحباب بُگذری	ey bād agar be golshan-e aḥbāb bogẕarī
দয়া করে জানের কাছে পৌঁছে দিও আভাস আমাদের।		زِنهار، عَرضه دِه بَرِ جانان پیامِ ما	zenhār, ʿarẓeh deh bar-e jānān payām-e mā
তাকে বলো, ইচ্ছা করে আমাদের নাম কেন ভুলে যায়?		گو نامِ ما زِ یاد به عمدا چه می‌بری؟	gū nām-e mā ze yād be ʿamdan che mī-barī?
যা ভুলে যাও তা ফের আনবে নামের পাশ আমাদের।		خود آید آن که یاد نیاری ز نامِ ما	ḵẖod āyad ān ke yād nayārī ze nām-e mā
আমাদের দিলে বাঁধা দয়িতার চোখে নেশা সুন্দর,		مستی به چشمِ شاهدِ دلبندِ ما خوش است	mastī be chashm-e shāhed-e delband-e mā ḵẖosh ast
তাই তো নেশার হাতে সোপর্দ করা রাশ আমাদের।		زآن رو سپرده‌اند به مستی زمامِ ما	ze ān rū seporde-and be mastī zemām-e mā
ভয় হয় শেষ বিচারে শেখের হালাল রুটির চেয়ে		ترسم که صَرفه‌ای نَبَرَد روزِ بازخواست	tarsam ke ṣarfah’ī nabarad rūz-e bāzḵẖvāst
বেশি লাভ পাবে আঙুরের হারাম নির্যাস আমাদের।		نانِ حلالِ شیخ ز آبِ حرامِ ما	nān-e ḥalāl-e sheyḵẖ ze āb-e ḥarām-e mā
চোখ থেকে এক দানা অশ্রু বর্ষণ করো, হাফিজ,		حافظ ز دیده دانهٔ اشکی همی‌فشان	Ḥāfeẓ ze dīdeh dāneh-ye ashkī hamī-feshān
হয়ত মিলনপাখি ধরতে চাবে ফাঁদের গ্রাস আমাদের।		باشد که مُرغِ وصل کُند قصدِ دامِ ما	bāshad ke morgh-e vaṣl konad qaṣd-e dām-e mā
আকাশের সবুজ দরিয়া আর হেলালের বাঁকা নৌকা		دریای اَخضَرِ فَلَک و کَشتی هِلال	daryā-ye akhẓar-e falak o kashtī-ye helāl
ডুবিয়ে দেয় হাজি কাওয়ামের আশ্বাস আমাদের।		هستند غرقِ نعمتِ حاجی‌قوامِ ما	hastand ḡarq-e neʿmat-e Ḥājjī-Qavām-e mā
			
চাঁদ-সুন্দরের আলো ঝরে মুখে অম্লান তোমার,	12	ای فروغِ ماهِ حُسن‌، از روی رخشان شما	ey forūgh-e māh-e ḥosn, az rūy-e roḵẖshān-e shomā
রূপের দীপ্তি ছড়ায় চিবুকের নিপান তোমার।		آبِ‌روی خوبی از چاه زَنَخدان شما	āb-e rūy-e ḵẖūbī az chāh-e zanakhdān-e shomā
তোমাকে দেখতে চায় অধরে আসা অধীর জান;		عزم دیدار تو دارد جانِ بر لب آمده	ʿazm-e dīdar-e to dārad jāne bar lab āmadeh
ফিরে যাবে না বেরিয়ে যাবে, কি ফরমান তোমার?		باز گردد یا برآید؟ چیست فرمان شما؟	bāz gardad yā bar-āyad? chīst farmān-e shomā?
তোমার নার্গিস ঘিরে দৌড়িয়ে কেউ রক্ষা পায়নি,		کَس به دور نرگست طرفی نبست از عافیت	kas be dūr-e nargeseṭ tarfī nabast az ʿāfīyat
বিক্রি করো না মাতালদের কাছে সম্মান তোমার।		بِه که نفروشند مستوری به مستان شما	beh ke nafroshand mastūrī be mastān-e shomā
আমাদের ঘুমিয়ে থাকা ভাগ্য কি জাগবে কখনো		بخت خواب‌آلود ما بیدار خواهد شد مگر	baḵẖt-e ḵẖwāb-ālūde-ye mā bīdār ḵẖwāhad shod magar
যদি চোখে জল না দেয় মুখের ভাস্বান তোমার।		زان که زد بر دیده آبی، روی رخشان شما	zān ke zad bar dīdeh ābī, rūy-e roḵẖshān-e shomā
জামা থেকে পাঠাও ফুলের তোড়া পূবালি হাওয়ায়,		با صبا همراه بفرست از رخت گل دسته‌ای	bā ṣabā hamrāh beferest az reḵẖt goldasteh-ī
যাতে আমরা পাই বাগানের ধুলার ঘ্রাণ তোমার।		بو که بویی بشنویم از خاک بستان شما	bū ke bū-ī beshnavīm az ḵẖāk-e bostān-e shomā
তোমাদের আয়ু আশা পুরাক, জামশিদের সাকী,		عمرتان باد و مراد ای ساقیانِ بزمِ جم	ʿomretān bād o morād, ey sāqiyān-e bazm-e Jam
না পুরাক আমাদের গ্লাস যুগের আপান তোমার।		گرچه جام ما نشد پُر مِی به دوران شما	garche jāme mā nashod por-e mey be dowrān-e shomā
ভাঙছে আমার দিল, দিলদারকে খবর দাও,		دل خرابی می‌کند، دلدار را آگه کنید	del ḵẖarābī mīkonad, deldār rā āgah konīd
হে দোস্ত, নয় যাবে আমার জান ও জান তোমার।		زینهار ای دوستان‌، جان من و جان شما	zīnehār ey dūstān, jān-e man o jān-e shomā
এ ইচ্ছা কে পূরণ করবে, রব? যে হাত মিলাক		کی دهد دست این غرض یا رب که همدستان شوند‌؟	key dehad dast īn ġaraż yā rab, ke hamdastān shavand?
আমাদের যৌথ আত্মা ও চুলের বিথান তোমার।		خاطر مجموع ما، زلف پریشان شما	ḵẖāṭer-e majmūʿ-e mā, zolf-e parishān-e shomā
এদিকে এলে ধুলা ও রক্ত থেকে জামা দূরে রেখো,		دور دار از خاک و خون دامن، چو بر ما بگذری	dūr dār az ḵẖāk o ḵẖūn dāman, cho bar mā bogẕarī
এই পথে অনেকেই হয়েছে কুরবান তোমার।		کَاندَر این ره کشته بسیارند، قربان شما	ke andar īn rah koshteh besyār-and, qorbān-e shomā
হাফিজ দোয়া করছে, শোনো এবং বলো, আমিন,		می‌کند حافظ دعایی، بشنو، آمینی بگو	mīkonad Ḥāfeẓ doʿāyī, beshnav, āmīnī begū
আমাদের রুজি হোক রুবি চিনির দান তোমার।		روزی ما باد لعل شَکَّرافشان شما	rūzī-ye mā bād laʿl-e shakkar-afshān-e shomā
পূবালি, ইয়াজদে সবাইকে আমাদের হয়ে বলো,		ای صبا با ساکنانِ شهرِ یزد از ما بگو	ey ṣabā bā sākenān-e shahr-e Yazd az mā begū
বেইমানের মাথা নিয়ে খেলে চৌগান তোমার।		کِای سر حق‌ناشناسان گوی چوگان شما	ke ey sar-e ḥaqq-nāshenāsān gūy-e chowgān-e shomā
যদিও আসর থেকে আমরা দূরে, হিম্মত দূরে না,		گرچه دوریم از بساط قُرب‌، همّت دور نیست	garche dūrīm az basāṭ-e qorb, hemmat dūr nīst
আমরা তোমাদের শাহের বান্দা, গাই গান তোমার।		بندهٔ شاه شماییم و ثناخوان شما	bande-ye shāh-e shomāyīm o sanā-ḵẖwān-e shomā
তারা-ভাগ্য শাহেনশাহ, খোদার দোহাই, হিম্মত দাও,		ای شَهنشاه بلند اختر‌، خدا را همّتی	ey shāhanshāh-e boland-aḵẖtar, ḵẖodā rā hemmatī
তারার মতো চুমু খেতে চাই ধুলার উঠান তোমার।		تا ببوسم همچو اختر خاک ایوان شما	tā bebusam hamcho aḵẖtar ḵẖāk-e īvān-e shomā
			
ফুটে উঠছে সকাল, মেঘেরা পাগড়ি পরে;	13	می‌دمد صبح و کِلِّه بست سحاب	mīdamad ṣobḥ o kelle bast saḥāb
ভোরের ওয়াইন, হে সঙ্গী, ওয়াইন এই ভোরে।		الصَبوح الصَبوح یا اصحاب	al-ṣabūḥ al-ṣabūḥ yā aṣḥāb
টিউলিপের লাল গালে ঝরে পড়ে শিশির;		می‌چکد ژاله بر رخِ لاله	mīchakad zhāleh bar roḵẖ-e lāleh
মদের ধারা, মদের ধারা, আসো বন্ধু ওরে।		المُدام المُدام یا احباب	al-modām al-modām yā aḥbāb
ময়দান থেকে আসছে বেহেশ্তের বাতাস,		می‌وزد از چمن نسیمِ بهشت	mīvazad az chaman nasīm-e behešt
নিখাদ ওয়াইন খাও দমে দমে চিরতরে।		هان، بنوشید دَم به دَم مِیِ ناب	hān, benūshīd dam be dam mey-e nāb
বাগানে ফুল পেতেছে পান্নার সিংহাসন,		تخت زُمْرُد زده است گل به چمن	taḵẖt-e zumorrod zadeh ast gol be chaman
রুবির মতো আগুন মদ পান করো ধরে।		راحِ چون لعلِ آتشین دریاب	rāḥ-e chon laʿl-e ātasheen daryāb
বারের দরজা তারা বন্ধ করেছে আবার,		درِ میخانه بسته‌اند دگر	dar-e meykhāneh basteh-and degar
ওপেনার, খুলে দাও দরজা ওপেন করে।		اِفتَتِح یا مُفَتِّح الاَبواب	iftaṭiḥ yā mofattih al-abwāb
তোমার দাঁত আর ঠোঁটের নিমকের হক		لب و دَندانْت را حقوق نمک	lab o dandān-at rā ḥoqūq-e namak
জান আর সিনায় যা কাবাব হয়েছে পুড়ে।		هست بر جان و سینه‌هایِ کباب	hast bar jān o sīneh-hā-ye kabāb
এমন মৌসুম তো আজব হতেই হবে		این چنین موسِمی عجب باشد	īn chenīn mawsamī ʿajab bāshad
যদি এত দ্রুত দেয় সব বার বন্ধ করে।		که ببندند میکده به شتاب	ke bebbandand meykadeh be shetāb
দেখে পরীর মতো শরীরের সাকীর মুখ		بر رخِ ساقیِ پری پیکر	bar roḵẖ-e sāqī-ye parī-peykar
নিখাদ ওয়াইন খাও হাফিজের মতো ধীরে।		همچو حافظ بنوش بادهٔ ناب	hamcho Ḥāfeẓ benūsh bāde-ye nāb
			
গরিবে দয়া করো, রূপের সুলতানকে বলি একদিন;	14	گفتم ای سلطانِ خوبان رحم کن بر این غریب	goftam ey soltān-e ḵẖūbān, raḥm kon bar īn ḡarīb
সে বলে, দিলের পিছনে চললে গরিব হয় মিসকিন।		گفت در دنبالِ دل، رَه گُم کُنَد مسکین غریب	goft: "dar donbāl-e del, rah gom konad meskīn ḡarīb"
বললাম, একটু থাকো; বলল, পারব না, মাফ করো;		گفتمش مَگذر زمانی، گفت معذورم بدار	goftamesh magzar zamānī, goft: "maʿẓūram bedār"
গরিবের দুঃখ সইবে না যার বিলাসে কেটেছে দিন।		خانه پروردی چه تاب آرد غم چندین غریب	ḵẖāneh-parvardī che tāb ārād ḡamme chandīn ḡarīb?
শাহী পশমে ঘুমায় যে-রূপসী দুঃখের সে কি বুঝবে?		خفته بر سنجابِ شاهی نازنینی را چه غم؟	ḵẖofte bar sanjāb-e shāhī, nāzanīnī rā che ḡam?
গরিবের বালিশ বিছানা শুধু পাথর কাঁটায় লীন।		گر ز خار و خاره سازد بستر و بالین غریب	gar ze ḵẖār o ḵẖāreh sāzad bastar o bālīn ḡarīb
ওহে, যার চুলের জিঞ্জিরে থাকে পরিচিত অনেকেই,		ای که در زنجیرِ زلفت جایِ چندین آشناست	ey ke dar zanjīr-e zolfat jāye chandīn āshenāst
কস্তুরীকালো তিলে গরিবের গাল সুন্দর রঙিন।		خوش فتاد آن خالِ مشکین بر رخِ رنگین غریب	ḵẖosh fotād ān ḵẖāl-e moshkīn bar roḵẖ-e rangīn-e ḡarīb
তোমার চাঁদমুখের রঙে ওয়াইনের প্রতিফলন		می‌نماید عکسِ مِی، در رنگِ رویِ مَه وَشَت	mīnamāyad ʿaks-e mey dar rang-e rūy-e mahvashet
যেন আর্গাবনের পাতার তলে অদ্ভুত নাসরিন।		همچو برگِ ارغوان بر صفحهٔ نسرین، غریب	hamcho barg-e arḡavān bar ṣafḥeh-ye nasrīn, ḡarīb
তোমার মুখের ধারে অদ্ভুত লাগে পিঁপড়ার রেখা,		بس غریب افتاده است آن مور خَط، گِردِ رُخَت	bas ḡarīb oftādeh ast ān mūr-e ḵẖaṭ, gird-e roḵẖat
গরিব না যদিও রূপের ঘরে কালো রেখার মার্জিন।		گرچه نَبوَد در نگارستان، خطِ مشکین غریب	garche nabovad dar negārestān, ḵẖaṭṭ-e moshkīn ḡarīb
বললাম, হে গরিবের সন্ধ্যা, রাতের মতন কালো চুল,		گفتم ای شامِ غریبان طُرِّهٔ شبرنگِ تو	goftam ey shām-e ḡarībāni, ṭorreh-ye shab-rang-e to
সকালে সতর্ক থেকো গরিবের কান্না হলে সঙিন।		در سحرگاهان حذر کن چون بنالد این غریب	dar saḥargāhān ḥaẓar kon, chon benālād īn ḡarīb
বলল, হাফিজ, যেখানে বন্ধুরা আছে বিভ্রান্তির ঘেরে,		گفت حافظ آشنایان در مقامِ حیرتند	goft: "Ḥāfeẓ, āshenāyān dar maqām-e ḥeyratand"
অবাক কি আর যদি গরিব হয় অসহায় মিসকিন।		دور نَبوَد گر نشیند خسته و مسکین غریب	dūr nabovad gar neshīnad ḵẖasteh o meskīn ḡarīb
			
ওরে স্বর্গের সুন্দর, কে খুললো তোমার নেকাব?	15	ای شاهد قدسی، کِه کَشَد بند نقابت؟	ey shāhed-e qodsī, ke kashad band-e neqābat?
বেহেশ্তের পাখি, কে মিটাল দানাপানির অভাব?		وی مرغ بهشتی، که دهد دانه و آبت؟	ey morgh-e beheštī, ke dahad dāneh o ābat?
আমার ঘুম উড়ে গেল জিগরজ্বালানো চিন্তায়,		خوابم بشد از دیده در این فکر جگرسوز	ḵẖwābam beshod az dīdeh dar īn fekr-e jigar-sūz
কার বুকে মঞ্জিল পেলো তোমার আয়েশ খোয়াব?		کآغوشِ که شد منزل آسایش و خوابت؟	kāġhūsh-e ke shod manzel-e āsāyesh o ḵẖwābat?
দরবেশের খোঁজ নাও না, আমার ভয় হয়		درویش نمی‌پرسی و ترسم که نباشد	darvīsh nemīporsī o tarsam ke nabāshad
যে পরিত্রাণ নাই তোমার চিন্তায়, নাই সোয়াব।		اندیشهٔ آمرزش و پروای ثوابت	andīshe-ye āmorzeš o parvā-ye sawābat
মাতাল চোখে বশ করেছ কত আশিকের দিল,		راه دل عشّاق زد آن چشم خماری	rāh-e del-e ʿoshshāq zad ān chashm-e ḵẖommārī
এই থেকে বোঝা যায় কত কড়া তোমার শরাব।		پیداست از این شیوه که مست است شرابت	peydāst az īn shīveh ke mast ast sharābat
চোখ দিয়ে যে তির ছুঁড়েছ দিলে তা বিঁধেনি,		تیری که زدی بر دلم از غمزه خطا رفت	tīrī ke zadī bar delam az ḡamzeh ḵẖaṭā raft
দেখি এখন কি রায়ে দাও তুমি মনের জবাব।		تا باز چه اندیشه کند رأی صوابت	tā bāz che andīshe konad raʾy-e ṣawābat
যত ফরিয়াদ আর্তনাদ করেছি, তুমি শোনোনি,		هر ناله و فریاد که کردم نشنیدی	har nāleh o faryād ke kardam nashnīdī
তাই, প্রিয়, বুঝি তুমি কত উপরে থাকা জনাব।		پیداست نگارا که بلند است جَنابت	peydāst, negārā, ke boland ast janābat
পানির উৎস এই মরু থেকে বহু দূর, হুঁশিয়ার,		دور است سر آب از این بادیه، هش دار	dūr ast sar-e āb az īn bādīyeh, hosh dār
তোমাকে ধোঁকা না দিক মরীচিকার কুপ্রভাব।		تا غول بیابان نفریبد به سرابت	tā ghūl-e biyābān nafarībad be sarābat
হায়, দিল, কেমন ভাবে হাঁটবে বার্ধক্যের পথে		تا در ره پیری به چه آیین رَوی ای دل	tā dar rahe pīrī be che āyīn ravī, ey del?
যেখানে গলদ ছিল তোমার যৌবনের স্বভাব?		باری به غلط صرف شد ایّامِ شبابت	bārī be ḡalaṭ ṣarf shod ayyām-e shabābat
ও হৃদয়পোড়ানো প্রাসাদ, ও মিলনের মঞ্জিল,		ای قصرِ دل‌افروز که منزلگهِ انسی	ey qaṣr-e delafruz ke manzelgahe onsī
কালের খারাপে তুমি ধ্বংস না হও, ইয়া রব।		یا رب مَکُناد آفتِ ایّام، خرابت	yā rab, makonād āfat-e ayyām ḵẖarābat
হাফিজ এমন গোলাম না যে প্রভু থেকে পালাবে,		حافظ نه غلامیست که از خواجه گریزد	Ḥāfeẓ na gholāmīst ke az ḵẖwāja gorīzad
শান্তিতে ফিরে আসো, তোমার গালিতে আমি খারাপ।		صلحی کن و بازآ که خرابم ز عِتابت	ṣolḥī kon o bāzā ke ḵẖarābam ze ʿetābat
			
তোমার দুরন্ত ভুরুর বাঁক থেকে ছোঁড়া কামান	16	خَمی که ابرویِ شوخِ تو در کمان انداخت	ḵẖamī ke abru-ye shūḵẖ-e to dar kamān andākht
এসেছিল আমার জানের দিকে, ক্লান্ত পেরেশান।		به قصد جانِ منِ زارِ ناتوان انداخت	be qaṣd-e jān-e man-e zār-e nātavān andākht
দুই জগতের নকশা ছিল না যখন প্রেমের রং		نبود نقش دو عالَم، که رنگ الفت بود	nabūd naqsh-e do ʿālam ke rang-e olfat būd
এ জামানার অনেক আগে সময় করে নির্মাণ।		زمانه طرح محبّت، نه این زمان انداخت	zamāneh tarḥ-e moḥabbat na īn zamān andākht
নার্গিস কারিশমার গর্বে একবার তাকানোতে		به یک کرشمه که نرگس به خودفروشی کرد	be yek kereshmeh ke nargis be ḵẖodforūshī kard
তোমার চোখ একশ ফিতনায় ছেয়েছে জাহান।		فریبِ چشمِ تو صد فتنه در جهان انداخت	farīb-e chashm-e to sad fetneh dar jahān andākht
মদে অভ্যস্ত মাতাল তুমি গিয়েছিলে বাগিচায়,		شراب‌خورده و خِوی‌کرده می‌رَوی به چمن	sharāb-ḵẖorde o ḵẖvī-karde mīravi be chaman
তোমার মুখের জলে আগুন হয়েছে আর্গাবন।		که آبِ روی تو آتش در ارغوان انداخت	ke āb-e rūy-e to ātaš dar arḡavān andākht
রাতে মাতাল আমি বাগানের বার হয়ে গেলাম,		به بزمگاهِ چمن، دوش، مست، بگذشتم	be bazmgāh-e chaman, dūsh, mast, bogẕashtam
ফুল দেখে মনে হলো সে তোমার মুখের সমান।		چو از دهانِ توأم غنچه در گُمان انداخت	cho az dahān-e toam ġonche dar gomān andākht
ভায়োলেট বাঁধছিল তার পাকানো চুলের গোছা,		بنفشه طُرِّهٔ مفتول خود گره می‌زد	banafshe ṭorreh-ye maftūl-e ḵẖod gereh mīzad
ভোরের হাওয়া তাতে বলে তোমার চুলের বয়ান।		صبا حکایتِ زلفِ تو در میان انداخت	ṣabā ḥekāyat-e zolf-e to dar miyān andākht
তোমার মুখের সাথে তুলনা করেছি এ লজ্জায়		ز شَرمِ آن که به روی تو نسبتش کردم	ze sharm-e ān ke be rūy-e to nesbatash kardam
