KMBA	#	Persian	Transliteration
দুই দুয়ারী বার থেকে যেহেতু বের হতেই হবে,		از این رِباط دو در، چون ضرورت است رَحیل	az īn rebāṭ-e do dar, chon ẓarūrat ast raḥīl
কি যায় আসে উঁচু বা নিচু হোক রুজির খিলান।		رِواق و طاقِ معیشت، چه سربلند و چه پست	ravāq o ṭāq-e maʿīshat, che sarboland o che past
আনন্দের মোকাম সহজে মেলে না কষ্ট ছাড়া,		مقام عیش میسر نمی‌شود بی‌رنج	maqām-e ʿeysh mayassar namī-shavad bī ranj
হ্যাঁ, আলাস্তুর সন্ধি বেঁধেছিল দুর্দশার বিধান।		بلی به حکمِ بلا بسته‌اند عهدِ الست	balī be ḥokm-e balā bastah-and ʿahd al-alast
অস্তিনাস্তি নিয়ে কষ্ট দিও না আত্মাকে, সুখে থাকো,		به هست و نیست مَرنجان ضمیر و خوش می‌باش	be hast o nīst maranjān ẓamīr o khosh mībāsh
অস্তিত্বশীল সব পূর্ণতার নাস্তিতে অবসান।		که نیستی‌ست سرانجامِ هر کمال که هست	ke nīstī-st sar-anjām-e har kamāl ke hast
আসিফের গৌরব, হাওয়ার ঘোড়া, পাখির ভাষণ		شکوهِ آصِفی و اسبِ باد و منطقِ طیر	shekowh-e Āṣafī o asb-e bād o manṭeq-e ṭayr
বাতাসে ভেসে গেল, হলো না তাতে খাজার কল্যাণ।		به باد رفت و از او خواجه هیچ طَرف نبست	be bād raft o az ū ḵẖvāje hīch ṭaraf nabast
পাখা ও ডানায় ভর করে যেও না পথে, কারণ		به بال و پَر مرو از ره که تیرِ پرتابی	be bāl o par marow az rah ke tīr-e partābī
আকাশে ছোঁড়া তিরও একটু পরে ধুলায় ম্লান।		هوا گرفت زمانی، ولی به خاک نشست	havā gereft zamānī, valī be ḵẖāk neshast
কলমের জবান, হাফিজ, কি শুকরিয়া জানাবে		زبانِ کِلکِ تو حافظ چه شُکرِ آن گوید	zabān-e kelk-e to Ḥāfeẓ che shokr ān gūyad
যদি হাত থেকে হাতে ঘুরে তোমার কথার দান।		که گفتهٔ سخنت می‌برند دست به دست	ke gofte-ye sokhanat mī-barand dast be dast
			
এলোমেলো চুল, মদরাঙা মুখে হাসি, টাল হাঁটে,	26	زلف‌آشفته و خِوی‌کرده و خندان‌لب و مست	zolf-āshofte o khvī-karde o khandān-lab o mast
ছেঁড়া পিরান, গজল গায় মদের সোরাই হাতে।		پیرهن‌چاک و غزل‌خوان و صُراحی در دست	pīrhan-chāk o ghazal-khān o ṣorāḥī dar dast
তার ঝগড়াটে নার্গিস-চোখ, ঠোঁট ভরা আফসোস,		نرگسش عَربده‌جوی و لبش افسوس‌کنان	nargesash arabade-jūy o labash afsūs-konān
আমার বেডে এসে বসল গতকাল মাঝরাতে।		نیم شب، دوش به بالین من آمد، بنشست	nīm-shab, dūsh be bālin-e man āmad, beneshast
আমার কানের কাছে তার মাথা এনে দুখি সুরে		سر فرا گوش من آورد به آوازِ حزین	sar farāgūsh-e man āvard be āvāz-e ḥozīn
বলে, আমার পুরাতন প্রেমিক, পারছ ঘুমাতে?		گفت: ای عاشقِ دیرینهٔ من، خوابت هست؟	goft: ey ‘āsheq-e dīrīne-ye man, khvābat hast?
যে আশিককে দেয়া হয় এমন রাতভাঙা মদ সে		عاشقی را که چنین بادهٔ شبگیر دهند	‘āsheqī rā ke chenīn bāde-ye shabgīr dahand
প্রেমের কাফির যদি না মজে মদের ইবাদতে।		کافر عشق بُوَد گر نشود باده پرست	kāfer-e ‘eshq bovad gar nashavad bāde-parast
যাও, হে জাহেদ, তলানিখোরদের দোষ দিও না,		برو ای زاهد و بر دُردکشان خرده مگیر	boro ey zāhed o bar dordkeshān khorde magīr
আলাস্তুর দিন আর কোনো তোহফা দেয়নি পাতে।		که ندادند جز این تُحفه به ما روزِ الست	ke nadādand joz īn toḥfe be mā rooz-e alast
আমাদের গ্লাসে যা সে ঢেলেছে তাই পান করেছি,		آن چه او ریخت به پیمانهٔ ما نوشیدیم	ān-che ū rīkht be peymāne-ye mā nūshīdīm
তা হোক নেশার মদ বা যে ওয়াইন বয় বেহেশ্তে।		اگر از خَمرِ بهشت است وگر بادهٔ مست	agar az khamr-e behesht ast o gar bāde-ye mast
ওয়াইন গ্লাসের হাসি ও নেগারের জটিল চুল,		خندهٔ جامِ می و زلفِ گره‌گیرِ نگار	khande-ye jāme mey o zolf-e gerehgīr-e negār
হাফিজের তওবার মতো কত তওবা ভাঙে তাতে।		ای بسا توبه که چون توبه حافظ بشکست	ey basā towbe ke chon towbe-ye Ḥāfeẓ beshekast
			
মাজির মন্দিরে প্রিয়া আমার গ্লাস হাতে এল কাল,	27	در دیرِ مغان آمد، یارم قدحی در دست	dar deyr-e moghān āmad, yāram qadaḥī dar dast
মাতাল মদে, মদ্যপেরা তার নার্গিস-চোখে মাতাল।		مست از می و میخواران از نرگسِ مستش مست	mast az mey o meykhwārān az nargis-e mastash mast
তার সামান্দের নালে দেখেছি নতুন চাঁদের রূপ,		در نعلِ سمندِ او شکلِ مهِ نو پیدا	dar na‘l-e samand-e ū shekl-e mah-e now peydā
তার দিঘল দেহের পাশে সাইপ্রেসও বেহাল।		وز قدِ بلندِ او بالایِ صنوبر، پست	vaz qadd-e boland-e ū bālā-ye sanowbar, past
কিভাবে বলি নিজের খবর রাখি, যদি না রাখি,		آخر به چه گویم هست از خود خبرم، چون نیست	ākhar be che guyam hast az khod khabaram, chun nist
বা বলি তাকে নজর দেইনি, যদি দেই উত্তাল?		وز بَهرِ چه گویم نیست با وی نظرم، چون هست	vaz bahr-e che guyam nist bā vey nazaram, chun hast
আমার দিল-সাথির মোম বসে যায় সে উঠলে,		شمعِ دلِ دمسازم، بنشست چو او برخاست	sham‘-e del-e damsāzam, beneshast cho ū barkhāst
আর সে বসলে কেঁদে উঠে নজরবাজের পাল।		و افغان ز نظربازان، برخاست چو او بنشست	o afghān ze nazarbāzān, barkhāst cho ū beneshast
তার চুলে জড়ানো বলেই সিভিটে খুশবু থাকে,		گر غالیه خوش بو شد، در گیسویِ او پیچید	gar ghāliye khoshbū shod, dar gīsū-ye ū pichid
হেনা তিরন্দাজ হয় যখন পায় তার কপাল।		ور وَسمه کمانکَش گشت، در ابروی او پیوست	var vasmeh kamānkash gasht, dar abru-ye ū peyvast
যদিও ধনুক থেকে ছুটলে তির আর ফেরে না,		بازآی که بازآید عمرِ شدهٔ حافظ	bāz āy ke bāz āyad ‘omr-e shode-ye Hāfez
ফিরে আসো যাতে ফিরে আসে হাফিজের গত কাল।		هرچند که ناید باز، تیری که بِشُد از شست	har chand ke nayad bāz, tīrī ke beshod az shast
			
খাজার জান, শাশ্বত হক, আর শুদ্ধ সন্ধির কসম,	28	به جانِ خواجه و حقِ قدیم و عهدِ درست	be jān-e khwāja o ḥaqq-e qadīm o ‘ahd-e dorost
তোমার দৌলতের জন্য দোয়াই আমার ভোরের দম।		که مونسِ دمِ صبحم، دعایِ دولتِ توست	ke mones-e dam-e ṣobḥam, do‘ā-ye dowlat-e tost
নূহের তুফানের সাথে পাল্লা দেয়া অশ্রু আমার		سِرِشک من که ز طوفان نوح دست بَرَد	sereshk-e man ke ze ṭūfān-e Nūḥ dast barad
বুকের ফলকে প্রেমের নক্সা করতে পারেনি খতম।		ز لوح سینه نیارَست نقشِ مهرِ تو شُست	ze lowḥ-e sīneh nayārast naqsh-e mehr-e to shost
একটা ব্যবসা খুলো আর কিনে নাও এই ভাঙা দিল,		بکن معامله‌ای، وین دل شکسته بخر	bokon mo‘āmele’ī, vīn del-e shekaste bekhar
অক্ষত হাজারটার চেয়ে বেশি ভাঙা এ দিলের দাম।		که با شکستگی ارزد به صد هزار درست	ke bā shekastagī arzad be sad hazār dorost
আসিফের প্রতি পিঁপড়ার কথা কঠিন হওয়াই ঠিক:		زبان مور به آصف دراز گشت و رواست	zabān-e mūr be Āṣef derāz gasht o ravāst
জামশিদের আংটি খাজা খোয়ায়, খোঁজেও না একদম।		که خواجه خاتَمِ جم، یاوه کرد و باز نَجُست	ke khwāja khātam-e Jam, yāveh kard o bāz najost
ও দিল, দোস্তের সীমাহীন দয়ার আশা ছেড়ো না,		دلا طَمَع مَبُر از لطفِ بی‌نهایتِ دوست	delā, ṭama‘ mabor az loṭf-e bī-nehāyat-e dūst
প্রেমের গর্ব করলে দ্রুত মাথা পেতে দেখাও বিক্রম।		چو لافِ عشق زدی، سر بباز، چابک و چُست	cho lāf-e ‘eshq zadī, sar bebāz, chābok o chost
সত্যের সাথে চলো, তোমার নিশ্বাসে উঠুক সূর্য;		به صدق کوش، که خورشید زایَد از نَفَسَت	be ṣedq kūsh, ke khorshīd zāyad az nafasat
মিথ্যার কারণে মুখ কালো করেছিল প্রভাত প্রথম।		که از دروغ سیه‌روی گشت صبحِ نخست	ke az dorūgh siyah-rūy gasht ṣobḥ-e nakhost
তোমার হাতে হলাম পাহাড় ও মরুর জন্য পাগল,		شدم ز دست تو شیدای کوه و دشت و هنوز	shodam ze dast-e to sheydā-ye kūh o dasht o hanūz
তবু আলগা করলে না দয়ায় সিলসিলার লাগাম।		نمی‌کنی به ترحم، نِطاق سلسله سست	nemīkonī be taraḥḥom, neṭāq-e selseleh sost
হাফিজ, রাগ করো না, চেয়ো না দিলবারের হেফাজত,		مرنج حافظ و از دلبر‌ان حِفاظ مجوی	maranj Ḥāfez o az delbarān ḥefāẓ majūy
বাগানের কি গুনা যদি না পারে গাছ হতে এ কলম।		گناه باغ چه باشد چو این گیاه نَرُست	gonāh-e bāgh che bāshad cho īn giyāh narost
			
থাকলে তোমার খেয়ালে কেন পরোয়া করব শরাব?	29	ما را زِ خیالِ تو چه پروایِ شراب است؟	mā rā ze khyāl-e to che parvā-ye sharāb ast?
বোতলকে বলো মাথা কুটতে, বার হয়ে গেছে খারাপ।		خُم گو سر خود گیر، که خُمخانه خراب است	khom go sar-e khod gīr, ke khomkhāneh kharāb ast
ওয়াইন বেহেশ্তের হলেও ফেলে দাও, কারণ বন্ধু ছাড়া		گر خَمر بهشت است بریزید که بی دوست	gar khamr-e behešt ast, berīzīd ke bī dūst
যত মিষ্টি শরবতই দাও আমার কাছে সব আজাব।		هر شَربَتِ عَذبَم که دهی، عینِ عذاب است	har sharbat-e ʿazbam ke dehī, ʿayn-e ʿazāb ast
আফসোস, দিলবার চলে গেছে, আমার সজল চোখে		افسوس که شُد دلبر و در دیدهٔ گریان	afsūs ke shod delbar o dar dīde-ye geryān
তার চুলের আঁকা ছবির ক্যানভাসও কেবল আব।		تحریرِ خیالِ خطِ او نقشِ بر آب است	taḥrīr-e khyāl-e khaṭṭ-e ū naqsh-e bar āb ast
জেগে ওঠো, ওরে চোখ, কারণ কেউ নিরাপদ না		بیدار شو ای دیده که ایمن نتوان بود	bīdār sho ey dīde ke īman natavān būd
নিরন্তর বন্যা থেকে খোয়াবের মঞ্জিলে যার প্রতাপ।		زین سیلِ دمادم که در این منزلِ خواب است	ze īn seyl-e damādam ke dar īn manzel-e khwāb ast
মাশুক যায় তোমার পাশ দিয়ে সবার সামনে, কিন্তু		معشوق عیان می‌گذرد بر تو، ولیکن	maʿshūq ʿayān mīgoẕarad bar to, valīkan
অচেনারাও তাকায় বলে সে টেনে রাখে নেকাব।		اغیار همی‌بیند از آن بسته نقاب است	aghyār hamī-bīnad az ān baste neqāb ast
তোমার রঙিন গালে যখন গুল স্নিগ্ধ আরক দেখে,		گل بر رخِ رنگین تو تا لطفِ عرق دید	gol bar rokh-e rangīn-e to tā loṭf-e ʿaraq dīd
প্রেমের আতশে ও দিলের দুঃখে গলে হয় গুলাব।		در آتشِ شوق از غمِ دل، غرقِ گلاب است	dar ātash-e shoq az gham-e del, g̱haraq-e golāb ast
সবুজ আছে অরণ্য আর প্রান্তর, চলো হাত না ছাড়ি		سبز است در و دشت بیا تا نگذاریم	sabz ast dar o dasht, biyā tā nagẕārīm
পানির উৎস থেকে, সারা জাহান তো মরীচিকার ছাপ।		دست از سرِ آبی که جهان جمله سراب است	dast az sar-e ābī ke jahān jamleh sarāb ast
আমার মনের কোণে কোনো জায়গা নাই নসিহতের,		در کُنجِ دِماغم مطلب جای نصیحت	dar konj-e damāgham maṭlab jā-ye naṣīḥat
কারণ এই কোণা গুঞ্জনে ভরেছে চান্‌গ আর রবাব।		کـ‌این گوشه پر از زمزمهٔ چنگ و رَباب است	ke īn gūshe por az zamzeme-ye chang o rabāb ast
কি যায় আসে হাফিজ হলে আশিক রিন্দ নজরবাজ?		حافظ چه شد ار عاشق و رند است و نظرباز	Ḥāfeẓ che shod ar ʿāsheq o rend ast o nazarbāz
আজব সব আচরণ তো কেবল যৌবনের স্বভাব।		بس طُورِ عجب لازمِ ایامِ شباب است	bas ṭūr-e ʿajab lāzem-e ayyām-e shabāb ast
			
হাজার দিল তোমার চুলের এক সুতায় বাঁধা,	30	زلفت هزار دل به یکی تار مو ببست	zolfat hazār del be yekī tār-e mū bebast
চারদিক থেকে শত উপদেষ্টার আসায় বাধা।		راه هزار چاره‌گر از چارسو ببست	rāh-e hazār chāregar az chār-su bebast
যাতে আশিকরা তার হাওয়ার সুবাসে জান দেয়,		تا عاشقان به بوی نسیمش دهند جان	tā āsheqān be bū-ye nasīmash dehand jān
কস্তুরী খোলার পরে দিল আশার দরজায় বাধা।		بگشود نافه‌ایّ و دَرِ آرزو ببست	bogshūd nāfe-ī o dar-e ārezū bebast
প্রেমে পাগল আমি, নেগার নতুন চাঁদের মতো		شیدا از آن شدم که نگارم چو ماه نو	sheydā az ān shodam ke negāram cho māh-e now
ভুরুর দীপ্তি দেখিয়ে লুকায়: মুখ দেখায় বাধা।		ابرو نُمود و جلوه‌گری کرد و رو ببست	abru nemūd o jelvegari kard o rū bebast
সাকী পেয়ালায় ঢেলে দিল নানা রঙের ওয়াইন,		ساقی به چند رنگ، می اندر پیاله ریخت	sāqī be chand rang, mey andar peyāleh rīkht
দেখো দারুণ নক্সা কদুর মতো পেয়ালায় বাঁধা।		این نقش‌ها نگر که چه خوش در کدو ببست	īn naqsh-hā negar ke che khosh dar kadū bebast
হে রব, সোরাই কি ইঙ্গিত করে যে গ্লাসের রক্ত		یا رب چه غمزه کرد صُراحی که خون خُم	yā rab che ghamze kard ṣorāḥī ke khūn-e khom
কুলকুল কান্নার কারণে তার গলায় বাঁধা।		با نعره‌های قُلقُلش اندر گلو ببست	bā na‘reh-hā-ye qolqolash andar gelū bebast
শিল্পী কি সুর সাধল পর্দায় যে সামা'র পর্দায়		مطرب چه پرده ساخت که در پردهٔ سماع	moṭreb che pardeh sākhṭ ke dar pardeh-ye samāʿ
সাধকেরা হালে পায় হা ও হু'র দরজায় বাধা।		بر اهل وجد و حال، درِ های‌وهو ببست	bar ahl-e vajd o ḥāl, dar-e hāy-o-hū bebast
হাফিজ, প্রেম লালন না করে যে মিলন চায় তার		حافظ! هر آن که عشق نَورزید و وصل خواست	Ḥāfeẓ! har ān ke ʿeshq nava rzīd o vasl khvāst
দিলকাবা তাওয়াফের ইহরাম ওজু ছাড়াই বাঁধা।		احرامِ طوفِ کعبهٔ دل، بی‌وضو ببست	ehrām-e ṭowf-e kaʿbeh-ye del, bī-vożū bebast
			
সেই শবে কদর যা আজ খালওয়া'র লোকে বলে,	31	آن شبِ قدری که گویند اهلِ خلوت امشب است	ān shab-e qadrī ke gūyand ahl-e khalvat emshab ast
হে রব, এ দৌলতের প্রভাব কোন তারার ফলে?		یا رب این تأثیرِ دولت در کدامین کوکب است؟	yā rab īn taʾsīr-e dowlat dar kodāmin kowkab ast?
তোমার চুলে অযোগ্য হাত যাতে না পৌঁছায় তাই		تا به گیسویِ تو دستِ ناسزایان کم رسد	tā be gīsū-ye to dast-e nā-sazāyān kam rased
ইয়া রব ইয়া রব জপে প্রত্যেক দিল বৃত্তের গোলে।		هر دلی از حلقه‌ای در ذکرِ یارب یارب است	har delī az ḥalqeh-ī dar zekr-e yā rab yā rab ast
তোমার চিবুকে আমি মরেছি, প্রত্যেক পাশ থেকে		کشته چاه زنخدان توام کز هر طرف	koshte-ye chāh-e zaneḵdān-e to-am ke az har taraf
হাজার জানের গর্দান তোমার গলার মালার তলে।		صد هزارش گردنِ جان زیرِ طوقِ غَبغَب است	sad hazāresh gardan-e jān zīr-e ṭowq-e ghabghab ast
আমার শাহি ঘোড়সওয়ারের মুখে আয়না ধরে চাঁদ,		شهسوارِ من که مه آیینه دارِ روی اوست	shahsavār-e man ke mah āyīneh-dār-e rūy-e ūst
সূর্যের মহান তাজ কেবল ধুলা তার ঘোড়ার নালে।		تاجِ خورشیدِ بلندش خاکِ نعلِ مَرکَب است	tāj-e khorshīd-e bolandash khāk-e na‘l-e markab ast
দেখো তার গালে ঘামের প্রতিফলন, গরম সূর্য		عکسِ خِوی بر عارضَش بین کآفتابِ گرم رو	aks-e khvī bar ārezash bīn ke āftāb-e garmrū
আরকের কামনায় রোজ জ্বরের কারণে জ্বলে।		در هوایِ آن عَرَق تا هست هر روزش تب است	dar havā-ye ān ‘araq tā hast har rūzash tab ast
ছাড়ব না ইয়ারের লাল ঠোঁট ওয়াইনের গ্লাস,		من نخواهم کرد تَرکِ لعلِ یار و جام می	man nakhvāham kard tark-e la‘l-e yār o jāme mey
মাফ করো, জাহেদ, আমার মাজহাব এই বলে।		زاهدان معذور داریدم که اینَم مذهب است	zāhedān ma‘ẓūr dārīd-am ke īnam mazhab ast
যখন তারা পুবের বাতাসে পরায় জিন তখন		اندر آن ساعت که بر پشتِ صبا بندند زین	andar ān sā‘at ke bar posht-e ṣabā bandand zīn
পিঁপড়ায় চড়ে কেমনে যাব সোলায়মানের দলে।		با سلیمان چون برانم من که مورم مرکب است	bā Soleymān chon borānam man ke mūram markab ast
চোরা চোখে যে আমার দিলে ছুঁড়ে নজরের তির,		آن که ناوَک بر دلِ من زیرِ چشمی می‌زند	ān ke nāvak bar del-e man zīr-e cheshmī mīzanad
হাফিজের জানের জোর তার সূক্ষ্ম হাসির ঢলে।		قوتِ جانِ حافظش در خندهٔ زیر لب است	qowwat-e jān-e Ḥāfezash dar khandé-ye zīr-e lab ast
আবেহায়াত ঝরে বাগ্মিতার ঠোঁট থেকে, আমার		آبِ حیوانش ز منقارِ بلاغت می‌چکد	āb-e ḥayvānash ze menqār-e balāghat mīchakad
কলমের কাক নামে খোদার নামে কি মস্ত জলে।		زاغِ کِلکِ من به نام ایزد چه عالی مشرب است	zāgh-e kelk-e man be nām-e īzad che ‘ālī mashrab ast
			
খোদা যখন তোমার দিলখোলা ভ্রুর সুরত বানায়,	32	خدا چو صورتِ ابرویِ دلگشای تو بست	Ḵhodā cho ṣūrat-e abru-ye del-goshā-ye to bast
আমার কর্মের মুক্তি বেঁধেছিল তোমার কারিশমায়।		گشادِ کارِ من اندر کرشمه‌هایِ تو بست	goshād-e kār-e man andar kereshmehā-ye to bast
সাইপ্রেস ও আমাকে তোমার পদধুলায় ফেলে কাল		مرا و سروِ چمن را به خاکِ راه نشاند	marā o sarv-e chaman rā be khāk-e rāh neshānd
যখন নার্গিসের রেশম দিয়ে তোমার জামা সেলায়।		زمانه تا قَصَبِ نرگسِ قبای تو بست	zamāneh tā qasab-e narges-e qabā-ye to bast
আমার কাজে কুঁড়ির দিলে শত গিঁট খুলে দেয়		ز کارِ ما و دلِ غنچه صد گره بگشود	ze kār-e mā o del-e ghanche sad gereh bogoshūd
ফুলের হাওয়া যখন তার দিল বাঁধে তোমার তৃষায়।		نسیمِ گل چو دل اندر پیِ هوایِ تو بست	nasīm-e gol cho del andar paye havā-ye to bast
কালের চরকা রাজি করায় আমাকে তোমার বন্ধনে,		مرا به بندِ تو دورانِ چرخ راضی کرد	marā be band-e to dowrān-e charkh rāzī kard
কিন্তু কি লাভ যদি সব সুতা চলে তোমার ইচ্ছায়?		ولی چه سود که سررشته در رضای تو بست	valī che sūd ke sar-reshte dar rezā-ye to bast
কস্তুরীর মতো আমার মিসকিন দিলে গিঁট দিও না,		چو نافه بر دلِ مسکینِ من گره مَفِکن	cho nāfe bar del-e moskīn-e man gereh mafekan
তার চুক্তি আছে গিঁটখোলা তোমার জুলফির চূড়ায়।		که عهد با سرِ زلفِ گره‌گشایِ تو بست	ke ‘ahd bā sare zolf-e gereh-goshā-ye to bast
তুমি নিজে আরেক মিলন ছিলে, মিলনের হাওয়া,		تو خود وصالِ دگر بودی ای نسیمِ وصال	to khod vesāl-e degar būdī ey nasīm-e vesāl
ভুল দেখো, দিল আশা বেঁধেছিল তোমার নিষ্ঠায়।		خطا نِگر که دل امید در وفایِ تو بست	khaṭā negar ke del omīd dar vafā-ye to bast
তোমার অত্যাচারে, বলেছিলাম, শহর ছেড়ে যাব;		ز دستِ جورِ تو گفتم زِ شهر خواهم رفت	ze dast-e jowr-e to goftam ze shahr khvāham raft
সে বলে, হাফিজ, যাও, কে শিকল বেঁধেছে পায়?		به خنده گفت که حافظ برو، که پایِ تو بست؟	be khande goft ke Ḥāfez boro, ke pā-ye to bast?
			
খালওয়াতে যে যায় তার আর তামাশা কি দরকার,	33	خلوت گُزیده را به تماشا چه حاجت است	khalvat-gozīde rā be tamāshā che ḥājat ast
দোস্তের গলি থাকতে মরুর দুরাশা কি দরকার?		چون کوی دوست هست به صحرا چه حاجت است	chon kūy-e dūst hast, be ṣaḥrā che ḥājat ast?
প্রিয়জন, তোমার তো খোদার সাথেই প্রয়োজন,		جانا به حاجتی که تو را هست با خدا	jānā! be ḥājati ke to rā hast bā khodā
অন্তত জানতে চাও, আমাদের আসা কি দরকার?		کآخِر دمی بپرس که ما را چه حاجت است	kākher damī bepors ke mā rā che ḥājat ast
ওহে রূপের বাদশা, খোদার দোহাই, জ্বলে যাচ্ছি,		ای پادشاهِ حُسن خدا را بسوختیم	ey pādshāh-e ḥosn, khodā rā, besūkhtīm
ভিখারিকে অন্তত করো জিজ্ঞাসা, কি দরকার?		آخِر سؤال کن که گدا را چه حاجت است	ākher so'āl kon ke gedā rā che ḥājat ast
আমাদের অনেক অভাব, জানার জবান নাই,		اربابِ حاجتیم و زبانِ سؤال نیست	arbāb-e ḥājatīm o zabān-e so'āl nīst
দয়াল হজরতের কাছে আর আশা কি দরকার?		در حضرتِ کریم، تمنا چه حاجت است	dar ḥażrat-e karīm, tamannā che ḥājat ast?
কিসসা কি প্রয়োজন যদি চাও আমাদের খুন,		محتاج قِصه نیست گَرَت قصدِ خون ماست	moḥtāj-e qesse nīst, garet qaṣd-e khūn-e māst
সব তোমারই হলে আমাদের পেষা কি দরকার?		چون رَخت از آن توست، به یغما چه حاجت است	chon rakht az ān-e tost, be yaġmā che ḥājat ast?
দোস্তের উজ্জ্বল আত্মা তো জাহান-দেখানো পেয়ালা,		جامِ جهان نماست ضمیرِ منیرِ دوست	jām-e jahān-namāst ẓamīr-e monīr-e dūst
সেখানে করা নিজের অভাব খোলাসা কি দরকার?		اظهارِ احتیاج، خود آن جا چه حاجت است	izhār-e eḥtiāj, khod ānjā che ḥājat ast?
সেই মাল্লার মানত বহনের দিন চলে গেছে,		آن شد که بارِ منتِ مَلّاح بردمی	ān shod ke bār-e mennat-e mallāḥ bordemī
মুক্তা হাতে এলে আর সমুদ্র শোষা কি দরকার?		گوهر چو دست داد به دریا چه حاجت است	gowhar cho dast dād, be daryā che ḥājat ast?
মিথ্যা দাবিদার, যাও, কাজ নাই তোমার সঙ্গে,		ای مدعی برو که مرا با تو کار نیست	ey modda'ī boro, ke marā bā to kār nīst
প্রিয়জন থাকলে শত্রুর পাশ ঘেঁষা কি দরকার?		اَحباب حاضرند، به اَعدا چه حاجت است	aḥbāb ḥāżerand, be a‘dā che ḥājat ast?
ভিখারি প্রেমিক, বন্ধুর রুহদেয়া ঠোঁট যদি থাকে,		ای عاشقِ گدا چو لبِ روح‌بخشِ یار	ey ‘āsheq-e gedā, cho lab-e rūḥbakhsh-e yār
সে তোমার চাওয়া জানে, আর প্রত্যাশা কি দরকার?		می‌داندت وظیفه، تقاضا چه حاجت است	mīdānadat waẓīfe, taqāzā che ḥājat ast?
হাফিজ, খতম করো, প্রতিভা নিজে প্রকাশ পাক,		حافظ! تو خَتم کن که هنر خود عَیان شود	Ḥāfeẓ! to khatm kon, ke honar khod ‘ayān shavad
প্রতারকের সাথে ঝগড়া তর্কে ভাসা কি দরকার?		با مدعی نزاع و مُحاکا چه حاجت است	bā modda'ī nezā‘ o moḥākā che ḥājat ast?